id;first_name;second_name;race;class;description
1;Christa;compress;Mills New navigate;redundant;transmitting
2;Patrick;Coordinator Global;Metrics Customer Accountability;innovative;toolset
3;Saul;alarm;bypassing redefine hack;asymmetric solid Associate;context-sensitive Generic hack
4;Nat;systems;blockchains Utah;Configurable Product;Generic innovative Applications
5;Raul;human-resource;Fresh;Avon blue;parallelism
6;Narciso;lavender withdrawal;Streamlined;turquoise Practical Data;Shoes Rupee
7;Herman;repurpose indexing lavender;navigating;navigating Shirt withdrawal;Solutions Bhutanese
8;Juana;Iran methodologies De-engineered;Salad payment;National;bandwidth Managed Soft
9;Vella;Associate;purple International teal;Developer Wooden;Bahrain
10;Jaron;Loan Director;COM Small Bedfordshire;initiatives Quality;Prairie
