id;name;sub_name;description
1;override invoice reboot;navigating optical streamline;virtual
2;Directives;Rubber Utah;Marketing
3;Vatu Ghana;Functionality invoice;Berkshire mindshare orchid
4;Dobra Burgs online;payment XML;Paradigm synergies
5;Toys Investor;program circuit;Borders
6;Cross-platform New Data;bluetooth Unit;neutral
7;Keyboard Account;Cuban online;Practical tan Money
8;Garden magenta;markets parsing;Bedfordshire markets
9;up e-services;even-keeled Steel;program Cambridgeshire
10;Fresh;metrics utilisation;alarm Rubber synthesizing
